День недели,Категория,Название,Цена,Состав
,Цена,350,,
Понедельник,Салат,Греческий,,"Помидоры, огурцы, перец, сыр фета, оливки"
Понедельник,Салат,Винегрет,,"Свёкла, морковь, картофель, солёные огурцы, горошек"
Понедельник,Суп,Борщ с говядиной,,"Говядина, капуста, свёкла, картофель, морковь"
Понедельник,Суп,Лапша куриная,,"Куриный бульон, вермишель, курица, петрушка"
Понедельник,Горячее,Куриная котлета,,"Куриное бедро, лук, яйцо, панировка"
Понедельник,Горячее,Рыба в кляре,,"Филе трески, мука, яйцо, сок лимона"
Понедельник,Гарнир,Картофельное пюре,,"Картофель, сливочное масло, сливки"
Понедельник,Гарнир,Рис с овощами,,"Рис, куркума, баклажан, цуккини"
Вторник,Салат,Цезарь с курицей,,"Айсберг, пармезан, крутоны, курица, соус цезарь"
Вторник,Салат,Морковь по-корейски,,"Морковь, чеснок, кунжут, специи"
Вторник,Суп,Харчо с курицей,,"Куриный бульон, рис, томатная паста, чеснок, кинза"
Вторник,Суп,Крем-суп грибной,,"Шампиньоны, картофель, лук, сливки"
Вторник,Горячее,Гуляш из говядины,,"Говядина, лук, морковь, перец болгарский, томатная паста"
Вторник,Горячее,Минтай с пармезаном,,"Филе минтая, сухари панко, пармезан, зелень"
Вторник,Гарнир,Гречка на пару,,"Гречневая крупа, растительное масло"
Вторник,Гарнир,Овощи гриль,,"Кабачок, баклажан, перец болгарский, шампиньоны"
Среда,Салат,Оливье с курицей,,"Картофель, морковь, горошек, огурцы, яйцо, курица, майонез"
Среда,Салат,Квашеная капуста,,"Капуста белокочанная, морковь, масло"
Среда,Суп,Щи из свежей капусты,,"Капуста, картофель, морковь, говядина"
Среда,Суп,Лапша куриная,,"Куриный бульон, вермишель, курица, петрушка"
Среда,Горячее,Куриный шницель,,"Куриное филе и бедро, сыр"
Среда,Горячее,Котлеты рыбные,,"Треска, капуста, хлеб, яйцо, лук"
Среда,Гарнир,Пряный рис,,"Рис, карри, куркума, кориандр"
Среда,Гарнир,Картофель по-деревенски,,"Картофель, паприка, прованские травы"
Четверг,Салат,Крабовый,,"Яйцо, огурец, крабовые палочки, кукуруза, майонез"
Четверг,Салат,Свёкла с фетой,,"Свёкла запечённая, фета, руккола, крем бальзамик"
Четверг,Суп,Рассольник,,"Курица, картофель, перловая крупа, солёные огурцы"
Четверг,Суп,Картофельный с грибами,,"Картофель, шампиньоны, лук, сливки"
Четверг,Горячее,Митболлы,,"Говядина, курица, лук, томатный соус"
Четверг,Горячее,Куриный шашлык,,"Куриное бедро, паста карри, паприка"
Четверг,Гарнир,Булгур с овощами,,"Булгур, перец болгарский, цуккини, баклажан"
Четверг,Гарнир,Картофельное пюре,,"Картофель, сливочное масло, сливки"
Пятница,Салат,Мимоза,,"Картофель, морковь, яйцо, горбуша, майонез"
Пятница,Салат,Коул-слоу,,"Капуста, морковь, майонез, сметана"
Пятница,Суп,Уха ростовская,,"Картофель, форель, треска, зелень"
Пятница,Суп,Лапша куриная,,"Куриный бульон, вермишель, курица, петрушка"
Пятница,Горячее,Бефстроганов,,"Говядина, лук, шампиньоны, сливки, сметана"
Пятница,Горячее,Треска в кляре,,"Филе трески, мука, яйцо, сок лимона"
Пятница,Гарнир,Рис басмати,,Отварной рис басмати
Пятница,Гарнир,Овощи на тепане,,"Морковь, цуккини, баклажан, перец, соевый соус"
