Вкладка,Раздел,Тип,Название,Подзаголовок,Объём,Цена,Описание,Метки
Завтраки,Завтраки,блюдо,Каша рисовая,,300 г,54,"Рис, молоко, голубика, сублимированная малина",
Завтраки,Завтраки,блюдо,Каша овсяная,,300 г,54,"Хлопья овсяные, молоко, голубика, сублимированная малина",
Завтраки,Завтраки,блюдо,Проверка автообновления 09:00,пример,200 г,6767,проверка системы автоматического обновления блюд,веган хит новинка острое веган
Завтраки,Добавки к завтракам,добавка,Бекон говяжий,,,63,,
Завтраки,Добавки к завтракам,добавка,проверка проверка автообновления 09:00,пример,50 г,100000,проверка АО,веган веган хит 
Завтраки,Добавки к завтракам,добавка,Бекон свиной,,,24,,
Основное меню,Салаты,блюдо,Салат с рукколой,и креветками,200 г,490,"Руккола, авокадо, креветки с тимьяном и чесноком, помидоры, пармезан, соус винегрет",
Основное меню,Салаты,блюдо,Салат катанезе,,200 г,472,"Баклажаны, перец болгарский, цукини, маслины таджасские, оливки каламата, базилик, орехи кедровые, бальзамический крем, масло оливковое",веган
Основное меню,Салаты,блюдо,Салат с курицей терияки,и овощами,200 г,232,"Куриное бедро, помидоры, микс салата, кинза, лук фри, авокадо, соус терияки, майонез, сыр пармезан, чипсы из тортильи",
Основное меню,Салаты,блюдо,Салат фермерский,,340 г,371,"Помидоры, огурцы, листья романо",веган хит
Основное меню,Супы,блюдо,Лапша куриная,с перепелиным яйцом,300 г,34,"Куриный бульон, вермишель, курица, петрушка",
Основное меню,Супы,блюдо,Суп Минестроне,,300 г,209,"Фасоль белая, цуккини, баклажан, болгарский перец, морковь, свежие брокколи, овощной бульон, соус песто, базилик",
Основное меню,Супы,блюдо,Томатный суп,с крутонами из чиабатты,270 г,188,"Сельдерей, лук, морковь, томаты в собственном соку, тимьян, чеснок",
Основное меню,Мясо & Рыба,блюдо,Курица отварная,,120 г,88,"Филе куриное, соль, белый перец",
Основное меню,Мясо & Рыба,блюдо,Стейк Рибай,,210 г,2180,"Говядина (рибай), соль, перец, сливочное масло, розмарин, тимьян",
Основное меню,Мясо & Рыба,блюдо,Стейк Денвер,в специях чурасско,180 г,1373,"Альтернативный говяжий стейк (лопаточная часть), чёрный перец, кориандр, паприка, копчёная паприка, острый чили",острое новинка
Основное меню,Мясо & Рыба,блюдо,Стейк лосося,с соусом бер блан,250 г,1004,"Филе лосося на коже, соус бер блан (лук шалот, тимьян, чеснок, белое вино, сливки, свежемолотый перец, сливочное масло)",
Основное меню,Мясо & Рыба,блюдо,Копчёное ребро,говяжье,450 г,3018,"Соль, перец, копчение на ольховой щепе 20 часов",
Основное меню,Мясо & Рыба,блюдо,Белорыбица,с варёным картофелем,,732,"Филе белорыбицы, мука, картофель отварной, огурцы свежие, земля из маслин, соус тар-тар",
Основное меню,Мясо & Рыба,блюдо,Брискет,,180 г,494,"Соль, перец, копчение на ольховой щепе 20 часов",
Основное меню,Гарниры,блюдо,Рис басмати,,150 г,24,Рис басмати на пару,
Основное меню,Гарниры,блюдо,Рис пряный,,150 г,30,"Рис, куркума",
Основное меню,Гарниры,блюдо,Рис с овощами,,150 г,47,"Рис, куркума, баклажан, цуккини",веган
Основное меню,Гарниры,блюдо,Пюре картофельное,,150 г,28,"Картофель, сливочное масло, сливки",
Основное меню,Гарниры,блюдо,Овощи гриль,с грибами,160 г,135,"Кабачок, баклажан, шампиньоны, перец болгарский",
Основное меню,Гарниры,блюдо,Мини картофель,запечённый,150 г,27,"Картофель мини, прованские травы",
Основное меню,Стрит-фуд,блюдо,Картофель фри,,120 г,65,Картофель фри,
Основное меню,Стрит-фуд,блюдо,Картофель фри,с пармезаном и трюфельным маслом,135 г,89,"Картофель фри, трюфельное масло, пармезан",
Основное меню,Стрит-фуд,блюдо,Батат фри,с соусом блю чиз,120 г,162,"Батат, соус блю чиз",
Основное меню,Стрит-фуд,блюдо,Бургер,с говяжьей котлетой,325 г,322,"Говяжий бекон, котлета из говядины, сыр чеддер, огурцы маринованные, помидор, айсберг, лук фри, булочки пшеничные, соус для бургера",хит
Основное меню,Стрит-фуд,блюдо,Шаурма,с курицей,380 г,210,"Маринованное куриное бедро (кориандр, зира), огурцы, помидоры, соус белый BBQ",
Основное меню,Стрит-фуд,блюдо,Чимичанга,с говядиной,265 г,200,"Рваная говядина, помидоры, маринованные огурцы, чеснок сушеный, оливковое масло, соус чипотле-майонез",острое
Бар,Классические коктейли,блюдо,Апероль Спритц,,,750,,
Бар,Классические коктейли,блюдо,Виски Сауэр,,,750,,
Бар,Классические коктейли,блюдо,Лонг-Айленд,,,750,,
Бар,Классические коктейли,блюдо,Май Тай,,,750,,
Бар,Классические коктейли,блюдо,Негрони,,,750,,
Бар,Классические коктейли,блюдо,Порно Стар,,,750,,
Бар,Авторские коктейли,блюдо,Апероль Сауэр,,,750,,
Бар,Авторские коктейли,блюдо,Десертный мусс,,,750,,
Бар,Авторские коктейли,блюдо,Милф с пейшн,,,750,,
Бар,Авторские коктейли,блюдо,Пегас,,,750,,
Бар,Авторские шоты,блюдо,Сет «Клубника–Малина»,3 шт · водка / джин / текила,,900,,
Бар,Авторские шоты,блюдо,Сет «Пина Колада»,3 шт,,900,,
Бар,Авторские шоты,блюдо,Сет «Фруктовый»,3 шт,,900,,
Бар,Авторские шоты,блюдо,Сет «Ягер»,3 шт,,900,,
Бар,Джин,блюдо,Би джин,Великобритания,40 мл,390,,
Бар,Джин,блюдо,1666 London Burning Small Batch,Великобритания,40 мл,590,,
Бар,Джин,блюдо,Bombay Sapphire,Великобритания,40 мл,790,,
Бар,Водка,блюдо,Зёрна севера,Россия,40 мл,390,,
Бар,Водка,блюдо,Мамонт,Россия,40 мл,450,,
Бар,Водка,блюдо,Чистые Росы,Россия,40 мл,550,,
Бар,Виски,блюдо,Jameson,Ирландия,40 мл,550,,
Бар,Виски,блюдо,Jack Daniel's,США,40 мл,550,,
Бар,Виски,блюдо,Macleod's Single Malt Speyside,Шотландия,40 мл,750,,
Бар,Виски,блюдо,Chivas Regal 12 YO,Шотландия,40 мл,850,,
Бар,Виски,блюдо,Laphroaig 10 YO,Шотландия,40 мл,1300,,
Бар,Виски,блюдо,Glen Scotia Double Cask,Шотландия,40 мл,1300,,
Бар,Виски,блюдо,Balvenie DoubleWood 12 YO,Шотландия,40 мл,1400,,
Бар,Виски,блюдо,Macallan Double Cask 12 YO,Шотландия,40 мл,1600,,
Бар,Ром,блюдо,Игуана Карта Бланка Аньехо,3 года · Италия,40 мл,450,,
Бар,Ром,блюдо,Игуана Карта Оро Аньехо,5 лет · Италия,40 мл,490,,
Бар,Ром,блюдо,Diplomatico Reserva Exclusiva,Венесуэла,40 мл,750,,
Бар,Ром,блюдо,Zacapa Centenario 23 YO,Гватемала,40 мл,1200,,
Бар,Текила,блюдо,El Bandito,Мексика,40 мл,450,,
Бар,Текила,блюдо,Каррера Бланко,Мексика,40 мл,650,,
Бар,Текила,блюдо,Каррера Аньехо,Мексика,40 мл,750,,
Бар,Бренди & Коньяк,блюдо,Sarajishvili,Грузия,40 мл,450,,
Бар,Бренди & Коньяк,блюдо,Ferrand 10 Generations,Франция,40 мл,990,,
Бар,Бренди & Коньяк,блюдо,Frapin VS,Франция,40 мл,1100,,
Бар,Бренди & Коньяк,блюдо,Frapin VSOP,Франция,40 мл,1400,,
Бар,Бренди & Коньяк,блюдо,Hennessy XO,Франция,40 мл,2200,,
Бар,Ликёры & Вермуты,блюдо,Campari,Италия,40 мл,400,,
Бар,Ликёры & Вермуты,блюдо,Aperol,Италия,40 мл,400,,
Бар,Ликёры & Вермуты,блюдо,Larrys Whisky Cream,Италия,40 мл,400,,
Бар,Ликёры & Вермуты,блюдо,Bols Triple Sec,Нидерланды,40 мл,400,,
Бар,Ликёры & Вермуты,блюдо,Jägermeister,Германия,40 мл,450,,
Бар,Ликёры & Вермуты,блюдо,Marcati Limoncello,Италия,40 мл,450,,
Бар,Ликёры & Вермуты,блюдо,Cinzano Rosso,Италия,40 мл,450,,
Бар,Ликёры & Вермуты,блюдо,Cinzano Bianco,Италия,40 мл,450,,
Бар,Пиво,блюдо,Corona,светлое,,450,,
Бар,Пиво,блюдо,Spaten,,,450,,
Бар,Пиво,блюдо,Clausthaler,безалкогольное,,450,,
Бар,Холодные напитки,блюдо,Вода JALINE,газ / без газа,,290 / 450,,
Бар,Холодные напитки,блюдо,Фреш,апельсин / грейпфрут / яблоко,,450,,
Бар,Холодные напитки,блюдо,Добрый Кола,кола / без сахара / лимон-лайм / апельсин,,190,,
Бар,Холодные напитки,блюдо,Тоник,,,250,,
Бар,Холодные напитки,блюдо,Лимонад,манго-маракуйя / гранат-малина / каламанси-арбуз / киви-яблоко / мандарин-персик,стакан / графин,420 / 1150,,
Бар,Холодные напитки,блюдо,Морс,,стакан / графин,250 / 700,,
Бар,Кофе,блюдо,Эспрессо,одинарный / двойной,,150 / 180,,
Бар,Кофе,блюдо,Американо,,,200,,
Бар,Кофе,блюдо,Флэт уайт,,,300,,
Бар,Кофе,блюдо,Капучино,маленький / большой,,250 / 350,,
Бар,Кофе,блюдо,Латте / Айс-Латте,,,250 / 290,,
Бар,Кофе,блюдо,Гляссе,,,380,,
Бар,Кофе,блюдо,Бамбл кофе,,,450,,
Бар,Чай,блюдо,Чёрный,Ассам / Эрл Грей / пуэр,500 мл,400,,
Бар,Чай,блюдо,Зелёный & улун,сенча / молочный улун / жасмин / Те Гуань Инь,500 мл,400,,
Бар,Чай,блюдо,Травяной,,500 мл,400,,
Бар,Чай,блюдо,Фруктовый,груша-миндаль / клубника-маракуйя / манго-маракуйя,500 мл,550,,
Винная карта,Игристые вина,блюдо,Междуморье выдержанное брют,Россия,125 мл / бутылка,550 / 3300,,
Винная карта,Игристые вина,блюдо,Gaetano Prosecco Extra Dry,Италия,125 мл / бутылка,590 / 3550,,
Винная карта,Игристые вина,блюдо,Cava Vinart,Испания,125 мл / бутылка,650 / 3900,,
Винная карта,Игристые вина,блюдо,Ахсо Брют,Грузия,бутылка,2900,,
Винная карта,Игристые вина,блюдо,Фанагория Петнат Каберне Фран,Россия,бутылка,2900,,
Винная карта,Игристые вина,блюдо,Fiorino d'Oro Prosecco Rose,Италия,бутылка,3900,,
Винная карта,Игристые вина,блюдо,Asti Gaetano,Италия,бутылка,3500,,
Винная карта,Игристые вина,блюдо,Green Life Shiraz Rose Bubbles,ЮАР,бутылка,3800,,
Винная карта,Игристые вина,блюдо,Crémant de Bordeaux Brut Gustave,Франция,бутылка,4500,,
Винная карта,Игристые вина,блюдо,Магнатум Блан де Блан,Россия,бутылка,4900,,
Винная карта,Игристые вина,блюдо,Gruet Sélection Brut,Франция,бутылка,12500,,
Винная карта,Белые вина,блюдо,Каффа Мальвазия,Россия,125 мл / бутылка,490 / 2700,,
Винная карта,Белые вина,блюдо,Sonnental Riesling,Германия,125 мл / бутылка,590 / 3550,,
Винная карта,Белые вина,блюдо,Green Life Sauvignon Blanc,Новая Зеландия,125 мл / бутылка,690 / 4150,,
Винная карта,Белые вина,блюдо,Sonnental Gewürztraminer,Германия,бутылка,3300,,
Винная карта,Белые вина,блюдо,Loco Cimbali Orange,Россия,бутылка,3600,,
Винная карта,Белые вина,блюдо,Urban Riesling,Германия,бутылка,4500,,
Винная карта,Белые вина,блюдо,Pfefferer Colterenzio,Италия,бутылка,4700,,
Винная карта,Белые вина,блюдо,Pfaffl Grüner Veltliner Trocken,Австрия,бутылка,4900,,
Винная карта,Белые вина,блюдо,Chartron et Trebuchet Chablis,Франция,бутылка,9500,,
Винная карта,Белые вина,блюдо,Pouilly-Fuissé Gilles Gelin,Франция,бутылка,16500,,
Винная карта,Красные вина,блюдо,Междуморье красностоп,Россия,125 мл / бутылка,600 / 3600,,
Винная карта,Красные вина,блюдо,Nube Zinfandel,США,125 мл / бутылка,690 / 3550,,
Винная карта,Красные вина,блюдо,Somewhere Else Malbec,Аргентина,125 мл / бутылка,650 / 3900,,
Винная карта,Красные вина,блюдо,Green Life Pinotage,ЮАР,бутылка,3300,,
Винная карта,Красные вина,блюдо,Каффа Саперави,Россия,бутылка,2900,,
Винная карта,Красные вина,блюдо,El Autóctono País,Чили,бутылка,3400,,
Винная карта,Красные вина,блюдо,Catay Tempranillo-Mazuelo,Испания,бутылка,3700,,
Винная карта,Красные вина,блюдо,Ahso Киндзмараули,Грузия,бутылка,4300,,
Винная карта,Красные вина,блюдо,Вино Шишка. Саперави Мезыбь,Россия,бутылка,4500,,
Винная карта,Красные вина,блюдо,Corte Moschina Valpolicella,Италия,бутылка,5900,,
Винная карта,Красные вина,блюдо,Château Bédouret,Франция,бутылка,6500,,
Винная карта,Красные вина,блюдо,The Pledge Our Lekker Pinotage,ЮАР,бутылка,6700,,
Винная карта,Красные вина,блюдо,Castelfeder Pinot Nero Mont Mes,Италия,бутылка,7100,,
Винная карта,Красные вина,блюдо,Two Hands Tenacity Shiraz,Австралия,бутылка,7900,,
Винная карта,Красные вина,блюдо,Terre del Bruno Gorgoli,Италия,бутылка,9000,,
Винная карта,Красные вина,блюдо,Barolo DOCG Priore,Италия,бутылка,12000,,
Винная карта,Красные вина,блюдо,Domaine Comte Aloxe-Corton,Франция,бутылка,32000,,
Винная карта,Розовые вина,блюдо,Renome Каберне Фран – Красностоп розе,Россия,125 мл / бутылка,450 / 2700,,
Винная карта,Розовые вина,блюдо,Kaffa Мерло Мальбек,Россия,125 мл / бутылка,490 / 2940,,
Винная карта,Розовые вина,блюдо,Сикоры Каберне Фран Розе,Россия,бутылка,3900,,
Винная карта,Розовые вина,блюдо,GreenLife Sauvignon Blanc Blush,Новая Зеландия,бутылка,4500,,
Винная карта,Безалкогольные вина,блюдо,Vina Albali Rosé Low Alcohol,Италия,бутылка,3100,,
Винная карта,Безалкогольные вина,блюдо,Hans Baer Riesling,Германия,бутылка,3100,,
Винная карта,Безалкогольные вина,блюдо,Hans Baer Riesling Sparkling Rosé,Германия,бутылка,3500,,
Винная карта,Безалкогольные вина,блюдо,Hans Baer Riesling Sparkling,Германия,бутылка,3100,,
