Название,Состав,Ккал,Белки,Жиры,Углеводы
Батат фри,"Батат, соус блю чиз",210,"8,5","6,5",29
Белорыбица,"Филе белорыбицы, мука, картофель отварной, огурцы свежие, земля из маслин, соус тар-тар",630,26,40,42
Бефстроганов,"Говядина, лук, шампиньоны, сливки, сметана",370,26,28,2
Борщ с говядиной,"Говядина, капуста, свёкла, картофель, морковь",230,11,12,20
Брискет,"Соль, перец, копчение на ольховой щепе 20 часов",440,64,15,12
Булгур с овощами,"Булгур, перец болгарский, цуккини, баклажан",200,6,7,29
Бургер,"Говяжий бекон, котлета из говядины, сыр чеддер, огурцы маринованные, помидор, айсберг, лук фри, булочки пшеничные, соус для бургера",680,41,37,48
Винегрет,"Свёкла, морковь, картофель, солёные огурцы, горошек",150,3,9,15
Греческий,"Помидоры, огурцы, перец, сыр фета, оливки",150,2,13,6
Гречка на пару,"Гречневая крупа, растительное масло",230,8,12,24
Гуляш из говядины,"Говядина, лук, морковь, перец болгарский, томатная паста",200,17,10,10
Картофель по-деревенски,"Картофель, паприка, прованские травы",420,6,19,54
Картофель фри,Картофель фри,150,"3,5","0,5",33
Картофельное пюре,"Картофель, сливочное масло, сливки",130,4,3,23
Картофельный с грибами,"Картофель, шампиньоны, лук, сливки",130,4,7,14
Каша многозлаковая,"Хлопья многозлаковые, молоко, голубика, сублимированная малина",400,16,21,37
Каша овсяная,"Хлопья овсяные, молоко, голубика, сублимированная малина",280,"9,5",14,31
Каша рисовая,"Рис, молоко, голубика, сублимированная малина",230,9,9,28
Квашеная капуста,"Капуста белокочанная, морковь, масло",80,2,6,6
Копчёное ребро,"Соль, перец, копчение на ольховой щепе 20 часов",1990,81,179,12
Котлеты рыбные,"Треска, капуста, хлеб, яйцо, лук",210,12,11,17
Коул-слоу,"Капуста, морковь, майонез, сметана",130,2,11,7
Крабовый,"Яйцо, огурец, крабовые палочки, кукуруза, майонез",230,8,20,6
Крем-суп грибной,"Шампиньоны, картофель, лук, сливки",200,4,9,19
Куриная котлета,"Куриное бедро, лук, яйцо, панировка",290,20,20,6
Куриный шашлык,"Куриное бедро, паста карри, паприка",300,19,22,8
Куриный шницель,"Куриное филе и бедро, сыр",540,17,50,5
Курица отварная,"Филе куриное, соль, белый перец",390,50,19,"4,5"
Лапша куриная,"Куриный бульон, вермишель, курица, петрушка",100,9,4,10
Мимоза,"Картофель, морковь, яйцо, горбуша, майонез",320,15,25,9
Мини картофель,"Картофель мини, прованские травы",180,"3,5",6,29
Минтай с пармезаном,"Филе минтая, сухари панко, пармезан, зелень",340,28,19,12
Митболлы,"Говядина, курица, лук, томатный соус",330,15,21,18
Морковь по-корейски,"Морковь, чеснок, кунжут, специи",210,2,18,10
Овощи гриль,"Кабачок, баклажан, перец болгарский, шампиньоны",120,4,8,9
Овощи на тепане,"Морковь, цуккини, баклажан, перец, соевый соус",40,2,1,8
Оливье с курицей,"Картофель, морковь, горошек, огурцы, яйцо, курица, майонез",230,10,17,11
Омлет,С миксом салата и черри,390,21,23,24
Пряный рис,"Рис, карри, куркума, кориандр",300,5,7,54
Пюре картофельное,"Картофель, сливочное масло, сливки",130,"3,5",3,23
Рассольник,"Курица, картофель, перловая крупа, солёные огурцы",230,13,12,20
Рис басмати,Рис басмати на пару,300,"4,5",7,54
Рис пряный,"Рис, куркума",300,"4,5",7,54
